核准登記營業日期,縣市旅宿登記證號,類別,標章,溫泉標章,旅宿名稱,縣市,鄉鎮,郵遞區號,地址,電話或手機,傳真,房間數,電子郵件,網址
2025-03-04,澎湖縣民宿1544號,民宿,,否,鬆壹鬆民宿,澎湖縣,馬公市,880,澎湖縣馬公市興仁里9鄰双頭掛313號,0933-186488,-,4,songyisong313@gmail.com,https://www.facebook.com/share/1MsKodxQri/
2025-03-04,澎湖縣民宿1543號,民宿,,否,日光星澄民宿,澎湖縣,馬公市,880,澎湖縣馬公市山水里21鄰珠江151之90號,0910-698595,-,4,Fanjie10406@gmail.com,
2025-03-04,南投縣民宿1248號,民宿,,否,森33-3行旅,南投縣,埔里鎮,545,南投縣埔里鎮一新里4鄰永興路33-3號,0921-815865,-,3,mori815865@gmail.com,
2025-03-04,臺南市民宿797號,民宿,,否,神農月樓,臺南市,中西區,700,臺南市中西區海安路二段259巷19號,0910-180625,-,2,york1008@gmail.com,
2025-03-03,新北市民宿418號,民宿,,否,逸境,新北市,瑞芳區,224,新北市瑞芳區五號路220之1號,0937-869071,-,1,cjh23741@gmail.com,
2025-03-03,臺南市民宿794號,民宿,,否,傅棧,臺南市,中西區,700,臺南市中西區普濟街73號,06-2509772,-,4,fuhouse52@gmail.com,
2025-03-03,金門縣民宿789號,民宿,,否,燕南CASA,金門縣,金寧鄉,892,金門縣金寧鄉盤果路19號,082-353063,-,3,atsungling@me.com,
2025-03-03,金門縣民宿790號,民宿,,否,合群民宿,金門縣,金寧鄉,892,金門縣金寧鄉后沙1之13號,082-328334,-,3,amy5809204489@gmail.com,
2025-02-27,宜蘭縣民宿2907號,民宿,,否,山人花民宿,宜蘭縣,員山鄉,264,宜蘭縣員山鄉深洲路77巷7號,0916-387926,-,3,corn78329211@yahoo.com.tw,
2025-02-27,宜蘭縣民宿2908號,民宿,,否,沃客宅,宜蘭縣,員山鄉,264,宜蘭縣員山鄉深福路82號,0973-102736,-,3,joanne60324@gmail.com,
2013-05-29,高雄市旅館435號,旅館,,否,祿宸衿后禾居,高雄市,新興區,800,高雄市新興區忠孝一路482號,07-2355555,07-2364889,64,,
2025-02-26,澎湖縣民宿1540號,民宿,,否,妙境星海旅墅民宿,澎湖縣,馬公市,880,澎湖縣馬公市五德里2鄰雞母塢51之55號,0968-851566,-,8,13817802072@163.com,
2025-02-26,澎湖縣民宿1541號,民宿,,否,某個秘境民宿,澎湖縣,馬公市,880,澎湖縣馬公市西衛里26鄰西衛578號,06-9212001,-,5,Lind7582@gmail.com,
2025-02-26,澎湖縣民宿1542號,民宿,,否,禎園民宿,澎湖縣,馬公市,880,澎湖縣馬公市山水里14鄰珠江32之56號,0928-315057,-,5,mtyang7@gmail.com,https://www.facebook.com/JanesGarden2025
2025-02-26,臺南市民宿795號,民宿,,否,沐光,臺南市,北區,704,臺南市北區成功路22巷18弄60號,0911-115656,-,2,klc110272@gmail.com,
2025-02-25,新北市民宿417號,民宿,,否,蘇卡利･漫活,新北市,烏來區,233,新北市烏來區新北市烏來區忠治里天仁8號,02-89915699,-,5,,
2025-02-25,屏東縣民宿1540號,民宿,,否,人愙人民宿,屏東縣,琉球鄉,929,屏東縣琉球鄉復興路15號,0919-113677,-,4,,
2025-02-25,宜蘭縣民宿2910號,民宿,,否,溫適,宜蘭縣,壯圍鄉,263,宜蘭縣壯圍鄉新南路109之11號,0976-591580,-,3,,
2025-02-25,高雄市民宿199號,民宿,,否,日出單車小棧民宿,高雄市,鳳山區,830,高雄市鳳山區黃埔新村東三巷104號,0920-456090,-,2,,
2025-02-25,宜蘭縣民宿2909號,民宿,,否,太甜拾光民宿,宜蘭縣,三星鄉,266,宜蘭縣三星鄉大坑三路6號,0922-706039,-,1,,
2025-02-25,彰化縣民宿161號,民宿,,否,夏米旅宿,彰化縣,鹿港鎮,505,彰化縣鹿港鎮長安路180號,0978-615180,-,2,,
2025-02-25,新竹縣民宿150號,民宿,,否,海福坊民宿,新竹縣,北埔鄉,314,新竹縣北埔鄉南興村3鄰公園街16巷9號,03-5966051,-,1,,
2025-02-24,臺東縣民宿2211號,民宿,,否,三哥民宿,臺東縣,卑南鄉,954,臺東縣卑南鄉初鹿村初鹿二街64巷18號,0961-366172,-,5,,
2025-02-24,臺東縣民宿2212號,民宿,,否,寧靜海民宿,臺東縣,綠島鄉,951,臺東縣綠島鄉綠島鄉南寮村南寮79-1號,0972-785151,-,3,ocean1pong@gmail.com,
2025-02-26,臺東縣民宿2174號,民宿,,否,金樽浪花民宿,臺東縣,東河鄉,959,臺東縣東河鄉東河村南東河41-2號,089-103707,-,4,,
2025-02-24,宜蘭縣民宿2905號,民宿,,否,愛旅行民宿,宜蘭縣,蘇澳鎮,270,宜蘭縣蘇澳鎮信義路301之1號,0926-038617,-,3,a0903050099@gmail.com,
2025-02-24,宜蘭縣民宿2906號,民宿,,否,玥民宿,宜蘭縣,蘇澳鎮,270,宜蘭縣蘇澳鎮信義路299號,0933-903951,-,3,edv4326@gmail.com,
2025-02-24,宜蘭縣民宿2903號,民宿,,否,沄禾民宿,宜蘭縣,蘇澳鎮,270,宜蘭縣蘇澳鎮信義路297號,0910-796298,-,3,,
2025-02-24,宜蘭縣民宿2904號,民宿,,否,海燕民宿,宜蘭縣,蘇澳鎮,270,宜蘭縣蘇澳鎮蘇澳鎮信義路301號,0921-074438,-,3,,
2025-02-21,臺東縣民宿2208號,民宿,,否,眠瓜民宿,臺東縣,臺東市,950,臺東縣臺東市岩灣里15鄰安和路102巷102號,0966-263102,-,7,sleepymelon102@gmail.com,
2025-02-21,宜蘭縣民宿2902號,民宿,,否,尋見777,宜蘭縣,三星鄉,266,宜蘭縣三星鄉行健七路77號,0912-908835,-,2,,
2025-02-20,南投縣民宿1244號,民宿,,否,含羞草民宿,南投縣,集集鎮,552,南投縣集集鎮林尾里林尾一街23號,0931-565998,-,3,web526@yahoo.com.tw,
2025-02-20,金門縣民宿788號,民宿,,否,八八金歐二館民宿,金門縣,金沙鎮,890,金門縣金沙鎮后宅2之1號,082-355340,-,2,f0910394377@gmail.com,
2025-02-19,花蓮縣民宿2863號,民宿,,否,悠悅民宿,花蓮縣,花蓮市,970,花蓮縣花蓮市國光里4鄰林森路328之2號,0976-397809,-,5,zin8141112@yahoo.com.tw,
2025-02-19,花蓮縣民宿2864號,民宿,,否,玖壹零德安館民宿,花蓮縣,花蓮市,970,花蓮縣花蓮市主權里18鄰德安四街31之1號,0972-907663,-,5,,
2025-02-19,臺東縣民宿2209號,民宿,,否,然然蔓生民宿,臺東縣,臺東市,950,臺東縣臺東市中興路二段417巷77號,0920-593593,-,1,chihyingsong@gmail.com,
2025-02-19,花蓮縣民宿2865號,民宿,,否,逸朋行旅民宿,花蓮縣,吉安鄉,973,花蓮縣吉安鄉慶豐村51鄰慶豐四街143號,0919-245651,-,4,sajipow362@gmail.com,
2025-02-19,臺東縣民宿2210號,民宿,,否,東之棧民宿,臺東縣,臺東市,950,臺東縣臺東市中興路二段82號,0981-716600,-,5,ggvv0820@gmail.com,
2025-02-19,花蓮縣民宿2866號,民宿,,否,單身旅人民宿,花蓮縣,光復鄉,976,花蓮縣光復鄉大華村4鄰中山路二段308號,0938-033095,-,4,tengyuanwang0827@gmail.com,
2025-02-19,花蓮縣民宿2867號,民宿,,否,黎明背包客棧民宿,花蓮縣,花蓮市,970,花蓮縣花蓮市國裕里11鄰富吉路27號,0966-778807,-,4,dawnhostelhuaien@gmail.com,
2025-02-18,屏東縣民宿1531號,民宿,,否,北極熊旅店,屏東縣,琉球鄉,929,屏東縣琉球鄉中山路5-2號,08-8612355,-,5,piggy1202@hotmail.com,
2025-02-18,南投縣民宿1242號,民宿,,否,覓境莊園,南投縣,南投市,540,南投縣南投市東閔路610巷10號,0912-393953,-,2,keeyan.chen@gmail.com,https://secretspot.mmweb.tw/
2025-02-17,南投縣旅館157號,旅館,,否,華獅有限公司-救國團溪頭青年活動中心,南投縣,鹿谷鄉,558,南投縣鹿谷鄉內湖村森林巷15號,049-2612160,049-2612322,4,xitou@cyc.tw,
2025-02-17,臺東縣民宿2205號,民宿,,否,蘭嶼達瑞海景民宿,臺東縣,蘭嶼鄉,952,臺東縣蘭嶼鄉東清村野銀1之12號,0910-549308,-,5,,
2025-02-17,南投縣民宿1243號,民宿,,否,泰森會館,南投縣,鹿谷鄉,558,南投縣鹿谷鄉內湖村9鄰興產路6-5號,049-2612688,-,5,yu3790577@gmail.com,
2025-02-17,臺北市旅館805號,旅館,,否,美好行旅北車漢口館,臺北市,中正區,100,臺北市中正區漢口街1段45號6樓,02-23818008,-,21,tpe.wondertime3@gmail.com,https://booking.owlting.com/b8c08ba6-81b6-4c9b-a640-9ae41975fa09/
2025-02-17,宜蘭縣民宿2900號,民宿,,否,傑瑞叔叔的家民宿,宜蘭縣,頭城鎮,261,宜蘭縣頭城鎮濱海路六段49號,0966-294989,-,3,aileen710924@gmaill.com,
2025-02-17,宜蘭縣民宿2901號,民宿,,否,熊熊遇見伲民宿,宜蘭縣,頭城鎮,261,宜蘭縣頭城鎮濱海路六段47號,0981-185667,-,3,comeye0712@gmail.com,
2025-02-17,宜蘭縣民宿2898號,民宿,,否,極小極大,宜蘭縣,頭城鎮,261,宜蘭縣頭城鎮文化路193巷11號,0911-217235,-,4,,
2025-02-17,新竹縣民宿148號,民宿,,否,寶山水岸民宿,新竹縣,寶山鄉,308,新竹縣寶山鄉三峰村5鄰新湖路四段156巷 116號,02-29533366,-,1,,
2008-07-29,金門縣民宿202號,民宿,好客民宿,否,水頭34號民宿,金門縣,金城鎮,893,金門縣金城鎮前水頭34號,082-373018,082-372848,7,,
2013-05-16,金門縣民宿149號,民宿,好客民宿,否,北山171號民宿,金門縣,金寧鄉,892,金門縣金寧鄉北山171號,082-320879,-,4,f721101@gmail.com,
2025-02-14,屏東縣民宿1539號,民宿,,否,沐煦民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮興北路興東巷9弄8號,0984-099001,-,8,catty962950@gmail.com,
2025-02-14,臺南市旅館368號,旅館,,否,合拍行旅康樂館,臺南市,中西區,700,臺南市中西區康樂街242號,06-2219555,-,21,hopehotel242@gmail.com,https://rwd.ezhotel.cloud/hopehotel/1
2025-02-14,宜蘭縣民宿2890號,民宿,,否,日日安民宿,宜蘭縣,頭城鎮,261,宜蘭縣頭城鎮濱海路六段41號,0952-634134,-,3,ken.house18@gmail.com,
2025-02-14,宜蘭縣民宿2891號,民宿,,否,山海月民宿,宜蘭縣,頭城鎮,261,宜蘭縣頭城鎮濱海路六段43號,0936-898841,-,3,JCY4211@yahoo.com.tw,
2025-02-14,宜蘭縣民宿2899號,民宿,,否,光陰的故事民宿,宜蘭縣,羅東鎮,265,宜蘭縣羅東鎮新群南路191巷5號,0972-382727,-,3,,
2025-02-13,屏東縣民宿1537號,民宿,,否,海嘉會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-1號,0937-595542,-,5,kenting.ao2@gmail.com,
2025-02-13,屏東縣民宿1538號,民宿,,否,海華會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-5號,0932-792211,-,5,kenting.ao5@gmail.com,
2025-02-13,澎湖縣民宿1522號,民宿,,否,魚魚雅雅民宿,澎湖縣,馬公市,880,澎湖縣馬公市陽明里17鄰永平街55號,0928-370341,-,4,hijiulala@gmail.com,
2025-02-12,臺東縣民宿2207號,民宿,,否,知本向日葵民宿,臺東縣,臺東市,950,臺東縣臺東市知本里吉泰路599巷27號,0965-254902,-,4,sunflower200830@gmail.com,https://www.facebook.com/profile.php?id=61566825461672
2025-02-12,澎湖縣民宿1539號,民宿,,否,某個海邊民宿,澎湖縣,馬公市,880,澎湖縣馬公市西衛里26鄰西衛578之2號,0963-138441,-,5,Killerangelfaya@gmail.com,
2025-02-12,屏東縣民宿1532號,民宿,,否,墾丁風華會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65號,08-8866288,-,5,kenting.aol@gmail.com,
2025-02-12,屏東縣民宿1533號,民宿,,否,海和會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-6號,0928-368861,-,3,kenting.ao6@gmail.com,
2025-02-12,屏東縣民宿1534號,民宿,,否,風海會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-3號,0970-652686,-,5,kenting.ao4@gmail.com,
2025-02-12,屏東縣民宿1535號,民宿,,否,海楠會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-2號,0975-782099,-,5,kenting.ao3@gmail.com,
2025-02-12,屏東縣民宿1536號,民宿,,否,海春會館,屏東縣,恆春鎮,946,屏東縣恆春鎮大光路65-7號,0906-022685,-,3,kenting.ao7@gmail.com,
2025-02-12,嘉義縣民宿406號,民宿,,否,陌野田居民宿,嘉義縣,民雄鄉,621,嘉義縣民雄鄉東興村葉子寮25之16號,0966-055895,-,4,c0966055895@gmail.com,
2025-02-11,澎湖縣民宿1537號,民宿,,否,米窩民宿,澎湖縣,湖西鄉,885,澎湖縣湖西鄉尖山村9鄰尖山30之5號,0937-995530,-,5,a0937995530@gmail.com,
2025-02-11,屏東縣民宿1530號,民宿,,否,步拉步拉民宿,屏東縣,東港鎮,928,屏東縣東港鎮明德路51巷24號,0953-379033,-,4,burabura5124@gmail.com,
2015-08-10,嘉義縣民宿146號,民宿,,否,蘋果園民宿,嘉義縣,民雄鄉,621,嘉義縣民雄鄉豐收村11鄰好收196之5號,05-2269010,-,4,,
2004-11-09,南投縣旅館036號,旅館,,否,桃花源汽車旅館,南投縣,國姓鄉,544,南投縣國姓鄉福龜村中正路1段330號,049-2721823,049-2722711,11,,
2025-02-10,臺東縣民宿2181號,民宿,,否,單藍民宿,臺東縣,蘭嶼鄉,952,臺東縣蘭嶼鄉蘭嶼鄉紅頭村6鄰漁人3號,0976-582497,-,1,bluecapsule@gmail.com,
2025-02-10,新北市民宿415號,民宿,,否,都映民宿,新北市,金山區,208,新北市金山區新北市金山區環金路293號,02-24081789,-,4,,
2025-02-10,新北市民宿416號,民宿,,否,常峨民宿,新北市,金山區,208,新北市金山區新北市金山區環金路291號,02-24081789,-,4,,
2025-02-08,臺南市民宿792號,民宿,,否,No.2 Tainan,臺南市,中西區,700,臺南市中西區西門路二段228巷2號,0912-548331,-,3,nonobjectart@gmail.com,
2025-02-07,臺東縣民宿2206號,民宿,,否,椰油灣民宿,臺東縣,蘭嶼鄉,952,臺東縣蘭嶼鄉椰油村椰油296之5號,089-732306,-,5,,
2025-02-07,澎湖縣民宿1538號,民宿,,否,璽萊旅店民宿,澎湖縣,馬公市,880,澎湖縣馬公市東文里18鄰文山路270之1號,0980-825551,-,5,cj06cj06cj06@gmail.com,
